id,text,label
1,140 تومن برای خرید سوپر دادم,shopping
2,730 تومن اسنپ گرفتم,transport
3,4580 خرج لوازم تحریر شد,shopping
4,180 تومن کباب گرفتم,food
5,1210 خرج شام شد,food
6,دارو 2890 تومن شد,health
7,3610 خرج لوازم تحریر شد,shopping
8,2310 خرج کنسرت شد,entertainment
9,اجاره 3900 تومن شد,housing
10,1760 تومن برای کفش دادم,shopping
11,4920 تومن برای اسنپ دادم,transport
12,1960 تومن ساندویچ گرفتم,food
13,3110 تومن برای قبض برق دادم,housing
14,2760 تومن قهوه گرفتم,food
15,2840 تومن برای سینما دادم,entertainment
16,4550 تومن برای کیف دادم,shopping
17,3620 تومن دکتر گرفتم,health
18,3970 تومن برای شام دادم,food
19,4450 تومن شام گرفتم,food
20,2340 تومن برای شهربازی دادم,entertainment
21,اتوبوس 1830 تومن شد,transport
22,3610 تومن لباس گرفتم,shopping
23,890 خرج درمان شد,health
24,میوه خریدم 850,shopping
25,4750 خرج شهربازی شد,entertainment
26,1680 تومن بنزین گرفتم,transport
27,4140 تومن برای تاکسی دادم,transport
28,شهربازی 350 تومن شد,entertainment
29,درمان 1630 تومن شد,health
30,کفش خریدم 2040,shopping
31,اتوبوس 730 تومن شد,transport
32,2770 تومن برای کیف دادم,shopping
33,2210 خرج کیف شد,shopping
34,شهربازی 1140 تومن شد,entertainment
35,480 تومن آزمایش گرفتم,health
36,ناهار 3230 تومن شد,food
37,3070 تومن کفش گرفتم,shopping
38,بازی خریدم 3070,entertainment
39,4990 خرج ویزیت شد,health
40,3510 خرج ساندویچ شد,food
41,1760 تومن اینترنت خونه گرفتم,housing
42,قبض آب خریدم 820,housing
43,4990 خرج برگر شد,food
44,4690 تومن کرایه رفت و برگشت گرفتم,transport
45,4320 خرج لباس شد,shopping
46,800 تومن برای دکتر دادم,health
47,4900 خرج کرایه رفت و برگشت شد,transport
48,2520 تومن فلافل گرفتم,food
49,4510 تومن برای فلافل دادم,food
50,1250 خرج تاکسی شد,transport
51,ساندویچ خریدم 3760,food
52,صبحونه 3940 تومن شد,food
53,2450 خرج بنزین شد,transport
54,2720 خرج اتوبوس شد,transport
55,4770 خرج کنسرت شد,entertainment
56,1040 تومن برای لوازم تحریر دادم,shopping
57,3340 تومن برای اشتراک فیلم دادم,entertainment
58,2330 تومن تفریح گرفتم,entertainment
59,340 تومن برای اسنپ دادم,transport
60,1190 خرج صبحونه شد,food
61,380 تومن تاکسی گرفتم,transport
62,4650 تومن تاکسی گرفتم,transport
63,اجاره 2650 تومن شد,housing
64,اینترنت خونه 2500 تومن شد,housing
65,3720 خرج دکتر شد,health
66,آزمایش خریدم 1260,health
67,500 تومن کنسرت گرفتم,entertainment
68,کفش خریدم 1830,shopping
69,4440 تومن بازی گرفتم,entertainment
70,3320 تومن لوازم تحریر گرفتم,shopping
71,3740 تومن برای کباب دادم,food
72,شام 1000 تومن شد,food
73,آزمایش خریدم 730,health
74,اتوبوس 2380 تومن شد,transport
75,4150 خرج قهوه شد,food
76,3350 خرج پیتزا شد,food
77,ساندویچ 4760 تومن شد,food
78,مترو خریدم 2500,transport
79,4640 تومن مترو گرفتم,transport
80,مترو خریدم 30,transport
81,قبض آب خریدم 1480,housing
82,4030 خرج لوازم تحریر شد,shopping
83,لوازم تحریر 2510 تومن شد,shopping
84,1130 تومن اتوبوس گرفتم,transport
85,2790 تومن درمان گرفتم,health
86,310 تومن لباس گرفتم,shopping
87,2590 خرج آزمایش شد,health
88,4930 خرج تاکسی شد,transport
89,370 خرج ناهار شد,food
90,2080 تومن شام گرفتم,food
91,2980 خرج دکتر شد,health
92,2160 خرج ساندویچ شد,food
93,1630 تومن برای دندانپزشک دادم,health
94,3680 تومن برای بنزین دادم,transport
95,اتوبوس 2040 تومن شد,transport
96,لوازم تحریر خریدم 1550,shopping
97,اجاره خریدم 60,housing
98,530 تومن دندانپزشک گرفتم,health
99,2610 تومن برای دکتر دادم,health
100,4530 تومن اتوبوس گرفتم,transport
101,اتوبوس 1470 تومن شد,transport
102,3620 تومن برای تفریح دادم,entertainment
103,2720 تومن درمان گرفتم,health
104,1550 تومن کیف گرفتم,shopping
105,610 تومن اتوبوس گرفتم,transport
106,810 تومن برای کیف دادم,shopping
107,1090 تومن برای قبض گاز دادم,housing
108,3260 تومن برای بنزین دادم,transport
109,1300 تومن آزمایش گرفتم,health
110,4260 تومن برای کباب دادم,food
111,پیتزا 1720 تومن شد,food
112,لباس خریدم 840,shopping
113,2200 خرج درمان شد,health
114,ساندویچ 400 تومن شد,food
115,4290 تومن برای دارو دادم,health
116,دندانپزشک خریدم 770,health
117,1590 تومن برای تاکسی دادم,transport
118,فلافل 1090 تومن شد,food
119,1830 خرج خرید سوپر شد,shopping
120,تفریح 3850 تومن شد,entertainment
121,اسنپ 4110 تومن شد,transport
122,930 تومن برای سینما دادم,entertainment
123,اشتراک فیلم 4440 تومن شد,entertainment
124,4050 تومن شارژ ساختمان گرفتم,housing
125,سینما خریدم 4410,entertainment
126,اسنپ خریدم 4200,transport
127,قبض برق 4220 تومن شد,housing
128,تاکسی 3390 تومن شد,transport
129,1440 تومن شهربازی گرفتم,entertainment
130,3300 خرج قبض برق شد,housing
131,4330 خرج اشتراک فیلم شد,entertainment
132,610 تومن برای اجاره دادم,housing
133,4940 تومن برای کرایه رفت و برگشت دادم,transport
134,ساندویچ خریدم 3070,food
135,4040 تومن برای اینترنت خونه دادم,housing
136,2630 تومن تفریح گرفتم,entertainment
137,990 تومن برای تفریح دادم,entertainment
138,20 خرج کباب شد,food
139,درمان 3700 تومن شد,health
140,370 تومن برای قبض آب دادم,housing
141,3410 تومن ویزیت گرفتم,health
142,2610 تومن برای لباس دادم,shopping
143,کفش خریدم 1690,shopping
144,لباس 2850 تومن شد,shopping
145,مترو خریدم 3420,transport
146,لوازم تحریر 4640 تومن شد,shopping
147,دندانپزشک خریدم 1560,health
148,1570 تومن برای دارو دادم,health
149,4040 خرج مترو شد,transport
150,درمان خریدم 1660,health
151,بازی 3470 تومن شد,entertainment
152,آزمایش 4080 تومن شد,health
153,1470 خرج خرید سوپر شد,shopping
154,3190 تومن برای لوازم تحریر دادم,shopping
155,3460 تومن برای شام دادم,food
156,770 تومن اسنپ گرفتم,transport
157,2450 خرج شام شد,food
158,2140 خرج قهوه شد,food
159,بنزین خریدم 3580,transport
160,بازی 1260 تومن شد,entertainment
161,40 تومن لوازم تحریر گرفتم,shopping
162,920 خرج کنسرت شد,entertainment
163,سینما 2870 تومن شد,entertainment
164,قهوه خریدم 700,food
165,2880 خرج کیف شد,shopping
166,3150 خرج قبض آب شد,housing
167,تفریح 2300 تومن شد,entertainment
168,2320 تومن برای کفش دادم,shopping
169,1430 خرج بنزین شد,transport
170,1240 تومن برای اشتراک فیلم دادم,entertainment
171,3670 تومن برای سینما دادم,entertainment
172,1730 تومن برای اتوبوس دادم,transport
173,دارو 720 تومن شد,health
174,مترو 3570 تومن شد,transport
175,میوه خریدم 340,shopping
176,شهربازی خریدم 2790,entertainment
177,سینما خریدم 1070,entertainment
178,4860 تومن تفریح گرفتم,entertainment
179,2460 تومن آزمایش گرفتم,health
